HouseholdRole,Age,Sex,Education,MonthlyIncome,IncomeLevel,IndustryCode,HouseholdSES,HouseholdItem,PeriodStay,FamilySES,MeanSES,Ketena
0,15,0,8,,,,,,,,,1
0,17,1,8,,,,,,,,,1
0,18,1,10,,,,,,,,,1
1,40,0,10,1000,Medium,6,3,1,8,1,1.666666667,1
0,30,1,0,,,,,,,,,1
0,4,0,98,,,,,,,,,1
0,22,0,6,,,,,,,,,1
1,65,1,3,1000,Medium,12,1,2,20,2,1.666666667,1
0,25,1,13,,,,,,,,,1
0,38,0,10,,,,,,,,,1
1,28,1,14,1500,Medium,15,1,2,28,2,1.666666667,1
0,1,1,,,,,,,,,,1
0,25,0,10,,,,,,,,,1
1,32,0,8,2000,Medium,7.1,3,1,30,1,1.666666667,1
0,24,1,8,,,,,,,,,1
0,7,0,1,,,,,,,,,1
0,1,0,,,,,,,,,,1
0,3,1,,,,,,,,,,1
0,20,1,6,,,,,,,,,1
0,19,0,7,,,,,,,,,1
1,26,0,14,1500,Medium,8,3,1,98,1,1.666666667,1
0,18,1,8,,,,,,,,,1
1,28,1,10,1500,Medium,98,1,2,13,2,1.666666667,1
0,45,0,10,,,,,,,,,1
0,43,1,6,,,,,,,,,1
0,20,1,14,,,,,,,,,1
0,11,0,6,,,,,,,,,1
0,2,1,,,,,,,,,,1
1,33,0,9,800,Medium,9,1,1,8,1,1,1
0,20,1,8,,,,,,,,,1
0,3,0,98,,,,,,,,,1
0,18,0,14,,,,,,,,,1
1,42,0,7,1500,Medium,6,1,2,10,2,1.666666667,1
0,38,1,6,,,,,,,,,1
0,10,0,5,,,,,,,,,1
0,7,0,1,,,,,,,,,1
0,4,0,98,,,,,,,,,1
0,18,1,10,,,,,,,,,1
1,25,0,8,1000,Medium,6,3,1,10,1,1.666666667,1
0,22,1,5,,,,,,,,,1
0,22,0,0,,,,,,,,,1
0,2,1,,,,,,,,,,1
1,26,0,12.5,500,Low,6,3,1,8,1,1.666666667,1
0,20,1,7,,,,,,,,,1
1,35,0,12,3000,High,6,1,2,8,2,1.666666667,1
0,32,1,8,,,,,,,,,1
0,10,0,4,,,,,,,,,1
0,5,1,98,,,,,,,,,1
0,2,1,,,,,,,,,,1
1,36,0,9,1000,Medium,6,3,1,5,1,1.666666667,1
0,29,1,12.5,,,,,,,,,1
0,3,0,,,,,,,,,,1
1,46,0,12,500,Low,12,1,1,17,1,1,1
0,34,1,7,,,,,,,,,1
0,17,1,12,,,,,,,,,1
0,15,1,10,,,,,,,,,1
0,14,1,9,,,,,,,,,1
0,3,0,,,,,,,,,,1
1,30,0,14,3000,High,16,3,1,1,1,1.666666667,1
0,26,1,10,,,,,,,,,1
0,1,0,,,,,,,,,,1
1,30,0,9,1000,Medium,6,3,1,2,1,1.666666667,1
0,28,1,6,,,,,,,,,1
0,3,1,,,,,,,,,,1
0,14,1,8,,,,,,,,,1
1,32,1,14,1000,Medium,98,3,2,14,2,2.333333333,1
0,10,0,4,,,,,,,,,1
