duration,enum,ignore,ignore_2,person_id,wereda,treatmentcontrol,age,ketena,relationship,education,partner_education,norms_1_treatment,norms_2_treatment,femaletrait_treatment,femaletrait_treatment_recode_1,femaletrait_treatment_recode_2,femaletrait_treatment_recode_3,femaletrait_treatment_recode_mean,ideal_employee_treatment,ideal_employee_treatment_1,ideal_employee_treatment_2,ideal_employee_treatment_3,ideal_employee_treatment_4,ideal_employee_treatment_5,ideal_employee_treatment_6,ideal_employee_treatment_98,employed_treatment,job_treatment,previous_job_treatment,previous_job_treatment_id,job_id_treatment_total,partner_employed_treatment,partner_job_treatment,partner_job_treatment_id,coworker_classmate_treatment,previous_coworker_classmate_treatment,coworker_classmate_treatment_total,supervisor_treatment,previous_supervisor_treatment,supervisor_treatment_total,values_1,values_2,values_3,values_4,attitudes_grt_1,attitudes_grt_4,attitudes_grt_3,gender_att_exp_1,attitudes_grt_2,gender_att_exp_2,attitudes_force_1,attitudes_force_2,attitudes_force_3,attitudes_force_4,ideal_employee,ideal_employee_1,ideal_employee_2,ideal_employee_3,ideal_employee_4,ideal_employee_5,ideal_employee_6,ideal_employee_98,norms_1,norms_2,femaletrait,femaletrait_recode_1,femaletrait_recode_2,femaletrait_recode_3,femaletrait_recode_3_mean,employed,job,job_id,previous_job,previous_job_id,job_id_total,partner_employed,partner_job,partner_job_id,coworker_classmate,previous_coworker_classmate,coworker_classmate_total,supervisor,previous_supervisor,supervisor_total,norms_1_com,norms_2_com,femaletrait_recode_com,ideal_employee_com,employed_com,job_id_com,partner_employed_com,partner_job_id_com,supervisor_com,coworker_classmate_com,military,living_situation,chores,ses,ses_1,ses_2,ses_3,ses_4,ses_5,ses_6,ses_98
1536,2,1,0,11610346,1,0.775050189,28,97,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,3,4,98,0,-1,,1,,4,4,4,4,1 2 6,1,1,0,0,0,1,0,-1,-1,98,,,,,1,Government administration,15,,,15,,,,2,,2,0,,0,-1,-1,,1 2 6,1,15,,,0,2,1,1,,6,0,0,0,0,0,1,0
1429,2,1,0,11710598,1,0.887528054,31,2,1,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,3,4,-1,1,-1,,1,,4,4,4,4,2 4 6,0,1,0,1,0,1,0,0,-1,98,,,,,1,Weaving,7,,,7,1,Manual labor,97,2,,2,2,,2,0,-1,,2 4 6,1,7,1,97,2,2,0,,2,1,1,0,0,0,0,0,0
2229,2,1,0,11710531,1,0.990684582,50,97,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,-1,1,-1,,1,,4,4,4,4,2 4 6,0,1,0,1,0,1,0,-1,-1,"Committed, good work ethics (don’t discriminate between tasks), punctual, respects customers, committed",1,,0,0.5,1,Guard,14.1,,,14.1,,,,3,,3,0,,0,-1,-1,0.5,2 4 6,1,14.1,,,0,3,1,4,3,,0,0,0,0,0,0,0
2180,2,1,0,11812012,1,0.640453641,28,8,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,2,2,-1,1,-1,,-1,,3,4,4,4,1 2 6,1,1,0,0,0,1,0,-1,-1,"Completes tasks appropriately, obedient, good work ethics (readily accepts assigned tasks)",1,0,,0.5,0,,,Manufacturing (shoes),3,3,1,Domestic worker,20,,4,4,,0,0,-1,-1,0.5,1 2 6,0,3,1,20,0,4,0,,2,3,0,0,1,0,0,0,0
3620,2,1,0,11710393,1,0.603532887,48,8,1,97,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,4,-1,1,-1,,1,,3,3,3,4,2 5 6,0,1,0,0,1,1,0,1,1,"Hard working, obedient",1,0,,0.5,0,,,Carpenter,3,3,0,,,,2,2,,0,0,1,1,0.5,2 5 6,0,3,0,,0,2,1,,1,1 3 6,1,0,1,0,0,1,0
2049,2,1,0,11710599,1,0.439968862,65,2,1,97,97,98,98,"Obedient, collaborative",0,0,,0,98,0,0,0,0,0,0,1,1,Weaving,,,7,1,Weaving,7,4,,4,2,,2,4,4,4,4,0,1,0,,0,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,98,0,98,1,7,1,7,2,4,1,,3,3,0,0,1,0,0,0,0
1654,2,1,0,11811977,1,0.34692585,31,3,1,97,97,0,0,98,,,,,98,0,0,0,0,0,0,1,1,Farming,,,1,1,Farming,1,2,,2,0,,0,3,98,98,98,0,0,0,,0,,3,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,98,1,1,1,1,0,2,0,,3,,0,0,0,0,0,0,0
853,1,0,0,11911504,1,0.434435663,39,97,3,5,,-1,-1,Communicator,0,,,0,2 4 5,0,1,0,1,1,0,0,1,Purchaser,,,7,,,,4,,4,1,,1,1,2,1,4,0,1,-1,,1,,4,4,98,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,0,2 4 5,1,7,,,1,4,0,1,,,0,0,0,0,0,0,0
1775,1,0,0,11910296,1,0.331283342,35,2,1,3,4,0,-1,"Respect their customer better than men,Humble and Work Ethics",0,0,,0,2 4 6,0,1,0,1,0,1,0,1,Artist,,,18,1,Health Officer,17,1,,1,0,,0,1,3,1,1,-1,1,-1,,1,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1,0,2 4 6,1,18,1,17,0,1,1,,1,1 3,1,0,1,0,0,0,0
1014,3,0,1,11810423,1,0.446121912,36,8,1,2,3,0,-1,Do their work appropriately,1,,,1,1 3 6,1,0,1,0,0,1,0,1,Guard,,,14.1,0,,,2,,2,0,,0,98,98,98,98,0,1,0,,1,,4,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,-1,1,1 3 6,1,14.1,0,,0,2,1,,1,1 3 5,1,0,1,0,1,0,0
